X
a b
b c
d
KEVIN
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
X
1
2
3
4
5
6
7
8
9
0
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
32
