X
a b
b c
d
KEVIN
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
a b
b c
d
X
